"Sample","Treatment","gene","Ct","Plate"
"VIGS_PVY3","VIGS_PVY","TRV",19.2808837890625,2
"H1","H","UBI",24.8653316497803,2
"H1","H","UBI",24.7405300140381,2
"H2","H","UBI",25.0768737792969,2
"H2","H","UBI",24.93385887146,2
"H3","H","UBI",25.5329113006592,2
"H3","H","UBI",24.6224594116211,2
"PVY1","PVY","UBI",27.5797119140625,2
"PVY1","PVY","UBI",27.3931999206543,2
"PVY2","PVY","UBI",27.5944404602051,2
"PVY2","PVY","UBI",27.7352905273437,2
"PVY3","PVY","UBI",26.8130531311035,2
"PVY3","PVY","UBI",26.9011917114258,2
"TRV1","TRV","UBI",25.1553802490234,2
"TRV1","TRV","UBI",24.9555416107178,2
"TRV2","TRV","UBI",25.2711181640625,2
"TRV2","TRV","UBI",25.1249618530273,2
"TRV3","TRV","UBI",25.4133586883545,2
"TRV3","TRV","UBI",25.7748928070068,2
"TRV_PVY1","TRV_PVY","UBI",23.9523811340332,2
"TRV_PVY1","TRV_PVY","UBI",23.7118377685547,2
"TRV_PVY2","TRV_PVY","UBI",23.563440322876,2
"TRV_PVY2","TRV_PVY","UBI",23.8557624816895,2
"TRV_PVY3","TRV_PVY","UBI",23.9733238220215,2
"TRV_PVY3","TRV_PVY","UBI",23.6367568969727,2
"VIGS1","VIGS","UBI",23.0071601867676,2
"VIGS1","VIGS","UBI",22.8227939605713,2
"VIGS2","VIGS","UBI",22.6292533874512,2
"VIGS2","VIGS","UBI",22.4182014465332,2
"VIGS2","VIGS","UBI",22.7190361022949,2
"VIGS2","VIGS","UBI",22.2918109893799,2
"VIGS_PVY1","VIGS_PVY","UBI",21.9230632781982,2
"VIGS_PVY1","VIGS_PVY","UBI","NA",2
"VIGS_PVY2","VIGS_PVY","UBI",21.9844989776611,2
"VIGS_PVY2","VIGS_PVY","UBI",21.856876373291,2
"VIGS_PVY3","VIGS_PVY","UBI",21.664493560791,2
"VIGS_PVY3","VIGS_PVY","UBI",21.4235019683838,2
